params,total_return,cagr,max_drawdown,sharpe_ratio,num_trades,final_value,benchmark_return,benchmark_max_drawdown,excess_return,success,error,equity_symbol,equity_allocation,leap_allocation,leap_delta,leap_expiration_months
"{'start_date': '2020-01-01', 'end_date': '2023-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 60, 'leap_allocation': 35, 'leap_delta': 0.6, 'leap_expiration_months': 12}",1189.11,89.57,89.25,1.09,364,1289111.48,766.26689,73.63221706393298,422.8431099999999,True,,TSLA,60,35,0.6,12
"{'start_date': '2020-01-01', 'end_date': '2023-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 60, 'leap_allocation': 35, 'leap_delta': 0.6, 'leap_expiration_months': 18}",978.35,81.29,86.81,1.05,348,1078351.53,766.26689,73.63221706393298,212.08311000000003,True,,TSLA,60,35,0.6,18
"{'start_date': '2020-01-01', 'end_date': '2023-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 50, 'leap_allocation': 35, 'leap_delta': 0.4, 'leap_expiration_months': 12}",1705.76,106.24,90.39,1.12,506,1805757.29,766.26689,73.63221706393298,939.49311,True,,TSLA,50,35,0.4,12
"{'start_date': '2020-01-01', 'end_date': '2023-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 50, 'leap_allocation': 35, 'leap_delta': 0.4, 'leap_expiration_months': 18}",2159.14,118.13,86.62,1.15,456,2259136.1,766.26689,73.63221706393298,1392.87311,True,,TSLA,50,35,0.4,18
"{'start_date': '2020-01-01', 'end_date': '2023-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 50, 'leap_allocation': 35, 'leap_delta': 0.5, 'leap_expiration_months': 12}",1563.69,102.06,88.83,1.12,406,1663685.37,766.26689,73.63221706393298,797.4231100000001,True,,TSLA,50,35,0.5,12
"{'start_date': '2020-01-01', 'end_date': '2023-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 50, 'leap_allocation': 35, 'leap_delta': 0.5, 'leap_expiration_months': 18}",2034.16,115.05,84.48,1.17,400,2134164.81,766.26689,73.63221706393298,1267.89311,True,,TSLA,50,35,0.5,18
"{'start_date': '2020-01-01', 'end_date': '2023-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 50, 'leap_allocation': 35, 'leap_delta': 0.6, 'leap_expiration_months': 12}",1213.05,90.44,87.02,1.09,361,1313055.0,766.26689,73.63221706393298,446.78310999999997,True,,TSLA,50,35,0.6,12
"{'start_date': '2020-01-01', 'end_date': '2023-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 50, 'leap_allocation': 35, 'leap_delta': 0.6, 'leap_expiration_months': 18}",864.99,76.32,84.41,1.03,336,964989.25,766.26689,73.63221706393298,98.72311000000002,True,,TSLA,50,35,0.6,18
"{'start_date': '2020-01-01', 'end_date': '2023-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 65, 'leap_allocation': 25, 'leap_delta': 0.4, 'leap_expiration_months': 18}",2490.73,125.73,81.9,1.21,410,2590728.4,766.26689,73.63221706393298,1724.4631100000001,True,,TSLA,65,25,0.4,18
"{'start_date': '2020-01-01', 'end_date': '2023-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 65, 'leap_allocation': 25, 'leap_delta': 0.4, 'leap_expiration_months': 12}",2130.53,117.44,87.26,1.18,441,2230532.26,766.26689,73.63221706393298,1364.2631100000003,True,,TSLA,65,25,0.4,12
