params,total_return,cagr,max_drawdown,sharpe_ratio,num_trades,final_value,benchmark_return,benchmark_max_drawdown,excess_return,success,error,equity_symbol,equity_allocation,leap_allocation,leap_delta,leap_expiration_months
"{'start_date': '2020-01-01', 'end_date': '2025-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 60, 'leap_allocation': 35, 'leap_delta': 0.6, 'leap_expiration_months': 12}",2820.04,75.5,91.67,1.0,516,2920036.0,1484.26298,73.63221706393298,1335.77702,True,,TSLA,60,35,0.6,12
"{'start_date': '2020-01-01', 'end_date': '2025-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 60, 'leap_allocation': 35, 'leap_delta': 0.6, 'leap_expiration_months': 18}",1758.32,62.77,88.8,0.94,481,1858316.09,1484.26298,73.63221706393298,274.05701999999997,True,,TSLA,60,35,0.6,18
"{'start_date': '2020-01-01', 'end_date': '2025-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 50, 'leap_allocation': 35, 'leap_delta': 0.4, 'leap_expiration_months': 12}",3849.99,84.57,93.01,1.03,713,3949990.37,1484.26298,73.63221706393298,2365.72702,True,,TSLA,50,35,0.4,12
"{'start_date': '2020-01-01', 'end_date': '2025-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 50, 'leap_allocation': 35, 'leap_delta': 0.4, 'leap_expiration_months': 18}",4663.49,90.42,88.51,1.05,654,4763488.95,1484.26298,73.63221706393298,3179.22702,True,,TSLA,50,35,0.4,18
"{'start_date': '2020-01-01', 'end_date': '2025-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 50, 'leap_allocation': 35, 'leap_delta': 0.5, 'leap_expiration_months': 12}",2716.49,74.45,91.18,1.0,599,2816485.91,1484.26298,73.63221706393298,1232.2270199999998,True,,TSLA,50,35,0.5,12
"{'start_date': '2020-01-01', 'end_date': '2025-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 50, 'leap_allocation': 35, 'leap_delta': 0.5, 'leap_expiration_months': 18}",4245.03,87.53,88.52,1.02,555,4345034.96,1484.26298,73.63221706393298,2760.76702,True,,TSLA,50,35,0.5,18
"{'start_date': '2020-01-01', 'end_date': '2025-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 50, 'leap_allocation': 35, 'leap_delta': 0.6, 'leap_expiration_months': 12}",2856.42,75.87,90.0,0.99,512,2956419.44,1484.26298,73.63221706393298,1372.15702,True,,TSLA,50,35,0.6,12
"{'start_date': '2020-01-01', 'end_date': '2025-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 50, 'leap_allocation': 35, 'leap_delta': 0.6, 'leap_expiration_months': 18}",1631.19,60.86,87.07,0.93,477,1731192.18,1484.26298,73.63221706393298,146.92702000000008,True,,TSLA,50,35,0.6,18
"{'start_date': '2020-01-01', 'end_date': '2025-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 65, 'leap_allocation': 25, 'leap_delta': 0.4, 'leap_expiration_months': 12}",5076.74,93.08,88.75,1.06,605,5176741.98,1484.26298,73.63221706393298,3592.47702,True,,TSLA,65,25,0.4,12
"{'start_date': '2020-01-01', 'end_date': '2025-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 65, 'leap_allocation': 25, 'leap_delta': 0.4, 'leap_expiration_months': 18}",6222.47,99.63,81.9,1.1,590,6322470.82,1484.26298,73.63221706393298,4738.20702,True,,TSLA,65,25,0.4,18
"{'start_date': '2020-01-01', 'end_date': '2025-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 65, 'leap_allocation': 25, 'leap_delta': 0.5, 'leap_expiration_months': 12}",3815.23,84.3,85.37,1.05,539,3915233.51,1484.26298,73.63221706393298,2330.96702,True,,TSLA,65,25,0.5,12
"{'start_date': '2020-01-01', 'end_date': '2025-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 65, 'leap_allocation': 25, 'leap_delta': 0.5, 'leap_expiration_months': 18}",4101.82,86.48,83.7,1.04,484,4201824.6,1484.26298,73.63221706393298,2617.5570199999997,True,,TSLA,65,25,0.5,18
